chapter,figure_file,maple_script,script_relpath_in_creators,model,plot_type,confidence,caption
disc1d,disc1d_unknownmapping_series_henon,disc1d_unknownmapping.mws,disc1d/disc1d_unknownmapping.mws,Henon map,time series,high,Three (unknown) data-sets: their time series and corresponding return-plots.
disc1d,disc1d_unknownmapping_return_henon,disc1d_unknownmapping.mws,disc1d/disc1d_unknownmapping.mws,Henon map,return map (x_{n+1} vs x_n),high,Three (unknown) data-sets: their time series and corresponding return-plots.
disc1d,disc1d_unknownmapping_series_noise,disc1d_unknownmapping.mws,disc1d/disc1d_unknownmapping.mws,,time series,high,Three (unknown) data-sets: their time series and corresponding return-plots.
disc1d,disc1d_unknownmapping_return_noise,disc1d_unknownmapping.mws,disc1d/disc1d_unknownmapping.mws,,return map (x_{n+1} vs x_n),high,Three (unknown) data-sets: their time series and corresponding return-plots.
disc1d,disc1d_unknownmapping_series_sin3map,disc1d_unknownmapping.mws,disc1d/disc1d_unknownmapping.mws,sine map,time series,high,Three (unknown) data-sets: their time series and corresponding return-plots.
disc1d,disc1d_unknownmapping_return_sin3map,disc1d_unknownmapping.mws,disc1d/disc1d_unknownmapping.mws,sine map,return map (x_{n+1} vs x_n),high,Three (unknown) data-sets: their time series and corresponding return-plots.
disc1d,disc1d_logist_attractor_r1_5,disc1d_logist_attractor.mws,disc1d/disc1d_logist_attractor.mws,logistic map,strange attractor (trajectory),high,Series of the logistic map at r=1.5 for different initial values x_0. The fixed point x^* = 1/3 is clearly stable. The fixed point x^* = 0 is unstable since a small perturbation is sufficient to escape from it.
disc1d,disc1d_logist_attractor_local_r2_0,disc1d_logist_attractor_local.mws,disc1d/disc1d_logist_attractor_local.mws,logistic map,strange attractor (trajectory),high,The convergence to the fixed point in a superstable situation and and ordinary stable situation.
disc1d,disc1d_logist_attractor_local_r1_5,disc1d_logist_attractor_local.mws,disc1d/disc1d_logist_attractor_local.mws,logistic map,strange attractor (trajectory),high,The convergence to the fixed point in a superstable situation and and ordinary stable situation.
disc1d,disc1d_logist_p2graph,disc1d_logist_p2graph.mws,disc1d/disc1d_logist_p2graph.mws,logistic map,function graph,high,"Plot of f(x) and g(x)=f(f(x)) for r=3.2, together with y = x. The period-2 solution, which satisfies x=g(x), is indicated with the solid black circles. The two (unstable) fixed points that correspond to period-1 solution"
disc1d,disc1d_logist_p3graph_r380,disc1d_logist_p3graph.mws,disc1d/disc1d_logist_p3graph.mws,logistic map,function graph,high,Plots of f(x) and g(x)=f^(3)(x) together with y = x. True period-3 solutions are indicated with the solid small black circles (stable) and small gray circles (unstable). The (unstable) fixed points x=f(x) are indicated b
disc1d,disc1d_logist_p3graph_r384,disc1d_logist_p3graph.mws,disc1d/disc1d_logist_p3graph.mws,logistic map,function graph,high,Plots of f(x) and g(x)=f^(3)(x) together with y = x. True period-3 solutions are indicated with the solid small black circles (stable) and small gray circles (unstable). The (unstable) fixed points x=f(x) are indicated b
disc1d,disc1d_logist_bifur_theo,disc1d_logist_bifur_theo.mws,disc1d/disc1d_logist_bifur_theo.mws,logistic map,bifurcation diagram,high,Bifurcation diagrams based on the analytical solutions to the logistic map
disc1d,disc1d_logist_stability_p3both,disc1d_logist_stability_p3both.mws,disc1d/disc1d_logist_stability_p3both.mws,logistic map,stability / eigenvalue plot,high,Bifurcation diagrams based on the analytical solutions to the logistic map
disc1d,disc1d_bifurcation_implicit_sin,disc1d_bifurcation_implicit_sin.mws,disc1d/disc1d_bifurcation_implicit_sin.mws,,bifurcation diagram,high,Numerical solutions to x=f^(4)(x) as a function of r[0.1] for the sine map x_n+1 = f(x_n) = r ( x_n) calculated and plotted by using the  command  implicitplot
disc1d,disc1d_logist_series_bifurcation,disc1d_logist_series_bifurcation.mws,disc1d/disc1d_logist_series_bifurcation.mws,logistic map,bifurcation diagram,high,Bifurcation diagram of the logistic map obtained by plotting the entire series for different values of r
disc1d,disc1d_logist_series_bifurcation_zoom_doubling,disc1d_logist_series_bifurcation.mws,disc1d/disc1d_logist_series_bifurcation.mws,logistic map,bifurcation diagram,high,Various close-ups of Fig.~fig:disc1d:series_bifurcation_logist
disc1d,disc1d_logist_series_bifurcation_zoom_p3,disc1d_logist_series_bifurcation.mws,disc1d/disc1d_logist_series_bifurcation.mws,logistic map,bifurcation diagram,high,Various close-ups of Fig.~fig:disc1d:series_bifurcation_logist
disc1d,disc1d_logist_lyap_r39_lin,disc1d_logist_lyap.mws,disc1d/disc1d_logist_lyap.mws,logistic map,Lyapunov exponent,high,Logistic map at r=3.9. Two sets with slightly different initial conditions y_0 = x_0 + 10^-9. The difference becomes already obvious at n=25.
disc1d,disc1d_logist_lyap_r39_log,disc1d_logist_lyap.mws,disc1d/disc1d_logist_lyap.mws,logistic map,Lyapunov exponent,high,Evolution of the deviations |y_n - x_n| plotted on a log-scale.
disc1d,disc1d_logist_lyap_bifurcation,disc1d_logist_lyap_bifurcation.mws,disc1d/disc1d_logist_lyap_bifurcation.mws,logistic map,bifurcation diagram,high,Bifurcation diagram x(r) combined with Lyapunov exponents (r)
disc1d,disc1d_shiftmap_series,disc1d_shiftmap_series.mws,disc1d/disc1d_shiftmap_series.mws,,time series,high,Series and return-plot of the shift-map eq:disc1d:shift_map
disc1d,disc1d_shiftmap_returnplot,disc1d_shiftmap_series.mws,disc1d/disc1d_shiftmap_series.mws,,return map (x_{n+1} vs x_n),high,Series and return-plot of the shift-map eq:disc1d:shift_map
disc1d,disc1d_tentmap_series,disc1d_tentmap.mws,disc1d/disc1d_tentmap.mws,tent map,time series,high,Series and return-plot of the tent-map eq:disc1d:tent_map
disc1d,disc1d_tentmap_returnplot,disc1d_tentmap.mws,disc1d/disc1d_tentmap.mws,tent map,return map (x_{n+1} vs x_n),high,Series and return-plot of the tent-map eq:disc1d:tent_map
disc1d,disc1d_logist_analytical,disc1d_logist_analytical.mw,disc1d/disc1d_logist_analytical.mw,logistic map,,high,"The analytical solution x_n=^2(2^n ) from eq:disc1d:closedlogist for x_0 = 0.36 ( = 0.64) together with the first few iterations x_1,,x_7 of the logistic map for r=4."
disc1d,disc1d_tanh_analytical,disc1d_tanh_analytical.mw,disc1d/disc1d_tanh_analytical.mw,,,high,"The analytical solution x_n = (2^n ) from eq:disc1d:closedtanh for x_0 = 0.05 ( = 0.05) together with the first few iterations x_1,,x_14 of the map x_n+1 = 2x_n/(1+x_n^2)."
disc1d,disc1d_logist_pdf,disc1d_logist_pdf.mw,disc1d/disc1d_logist_pdf.mw,logistic map,probability density / histogram,high,pdfs
disc1d,disc1d_sin3map_pdf,disc1d_sin3map_pdf.mw,disc1d/disc1d_sin3map_pdf.mw,sine map,probability density / histogram,high,pdfs
disc1d,disc1d_doubling_logist,disc1d_doubling_logist.mw,disc1d/disc1d_doubling_logist.mw,logistic map,period-doubling plot,high,Period-doubling in two different mappings.
disc1d,disc1d_doubling_sinmap,disc1d_doubling_sinmap.mw,disc1d/disc1d_doubling_sinmap.mw,sine map,period-doubling plot,high,Period-doubling in two different mappings.
disc1d,disc1d_universality_logist,disc1d_universality_logist.mw,disc1d/disc1d_universality_logist.mw,logistic map,universality plot,high,Graphs revealing the universal period-doubling for the logistic map and the sine map.
disc1d,disc1d_universality_sinmap,disc1d_universality_sinmap.mw,disc1d/disc1d_universality_sinmap.mw,sine map,universality plot,high,Graphs revealing the universal period-doubling for the logistic map and the sine map.
disc1d,disc1d_not_so_universal,disc1d_not_so_universal.mws,disc1d/disc1d_not_so_universal.mws,,universality plot,high,"Feigenbaum number  as a function of  for the map f_(x) = r (1-|2x-1|^). See bifurcation diagrams in Fig.~. The mapping f_ represents the logistic map for  = 2, in which case the 'universal' value of =4.669 is re"
disc2d,disc2d_Duffing_series1,disc2d_DuffingMap_series.mw,disc2d/disc2d_DuffingMap_series.mw,Duffing oscillator,time series,high,Series and phase space plots of the Duffing map eq:Duffing_map with b=0.1.
disc2d,disc2d_Duffing_phase1,disc2d_DuffingMap_series.mw,disc2d/disc2d_DuffingMap_series.mw,Duffing oscillator,phase portrait,high,Series and phase space plots of the Duffing map eq:Duffing_map with b=0.1.
disc2d,disc2d_Duffing_series2,disc2d_DuffingMap_series.mw,disc2d/disc2d_DuffingMap_series.mw,Duffing oscillator,time series,high,Series and phase space plots of the Duffing map eq:Duffing_map with b=0.1.
disc2d,disc2d_Duffing_phase2,disc2d_DuffingMap_series.mw,disc2d/disc2d_DuffingMap_series.mw,Duffing oscillator,phase portrait,high,Series and phase space plots of the Duffing map eq:Duffing_map with b=0.1.
disc2d,disc2d_Duffing_bifurx,disc2d_DuffingMap_series.mw,disc2d/disc2d_DuffingMap_series.mw,Duffing oscillator,bifurcation diagram,high,Bifurcation diagram of the Duffing map eq:Duffing_map as a function of a. b=0.1 is fixed.
disc2d,disc2d_Duffing_bifury,disc2d_DuffingMap_series.mw,disc2d/disc2d_DuffingMap_series.mw,Duffing oscillator,bifurcation diagram,high,Bifurcation diagram of the Duffing map eq:Duffing_map as a function of a. b=0.1 is fixed.
disc2d,disc2d_bowl_chaos,disc2d_Paraball.mw,disc2d/disc2d_Paraball.mw,particle-in-a-bowl map,,high,Trajectories of a bouncing ball in a parabolic bowl.
disc2d,disc2d_bowl_periodic,disc2d_Paraball.mw,disc2d/disc2d_Paraball.mw,particle-in-a-bowl map,,high,Trajectories of a bouncing ball in a parabolic bowl.
disc2d,disc2d_bowl_energies,disc2d_Paraball.mw,disc2d/disc2d_Paraball.mw,particle-in-a-bowl map,energy / potential contour,high,"Evolution in time of the potential energy E_p,n (circles), kinetic energy E_k,n (diamonds) and the sum of both E_t,n (boxes). Time t was 'recreated' using eq:ball_space_time, allowing the values between bounces to be dis"
disc2d,disc2d_HenonAttractor,disc2d_HenonAttractor.mw,disc2d/disc2d_HenonAttractor.mw,Henon map,strange attractor (trajectory),high,"The H\'enon attractor for a=1.4, b=0.3."
disc2d,disc2d_HenonLyap,disc2d_HenonLyap.mw,disc2d/disc2d_HenonLyap.mw,Henon map,Lyapunov exponent,high,"The two Lyapunov exponents of the H\'enon map determined in three different ways: 1) black lines (and circles): calculated 20 times with N=200, 2) dark gray lines: calculated 400 times with N=10 and 3) light gray lines: "
disc2d,disc2d_HenonFold0,disc2d_HenonFold.mw,disc2d/disc2d_HenonFold.mw,Henon map,stretch-and-fold sequence,high,"The action of  contraction due to the negative Lyaponov exponent: shown are the first 5 steps of the evolution of 10^4 initial conditions which were randomly drawn from the interval [-1.25,1.25][-0.4,0.4]."
disc2d,disc2d_HenonFold1,disc2d_HenonFold.mw,disc2d/disc2d_HenonFold.mw,Henon map,stretch-and-fold sequence,high,"The action of  contraction due to the negative Lyaponov exponent: shown are the first 5 steps of the evolution of 10^4 initial conditions which were randomly drawn from the interval [-1.25,1.25][-0.4,0.4]."
disc2d,disc2d_HenonFold2,disc2d_HenonFold.mw,disc2d/disc2d_HenonFold.mw,Henon map,stretch-and-fold sequence,high,"The action of  contraction due to the negative Lyaponov exponent: shown are the first 5 steps of the evolution of 10^4 initial conditions which were randomly drawn from the interval [-1.25,1.25][-0.4,0.4]."
disc2d,disc2d_HenonFold3,disc2d_HenonFold.mw,disc2d/disc2d_HenonFold.mw,Henon map,stretch-and-fold sequence,high,"The action of  contraction due to the negative Lyaponov exponent: shown are the first 5 steps of the evolution of 10^4 initial conditions which were randomly drawn from the interval [-1.25,1.25][-0.4,0.4]."
disc2d,disc2d_HenonFold4,disc2d_HenonFold.mw,disc2d/disc2d_HenonFold.mw,Henon map,stretch-and-fold sequence,high,"The action of  contraction due to the negative Lyaponov exponent: shown are the first 5 steps of the evolution of 10^4 initial conditions which were randomly drawn from the interval [-1.25,1.25][-0.4,0.4]."
disc2d,disc2d_HenonFold5,HenonStretchfoldHJrnd.mw,disc2d/HenonStretchfoldHJrnd.mw,Henon map,stretch-and-fold sequence,high,"The action of  contraction due to the negative Lyaponov exponent: shown are the first 5 steps of the evolution of 10^4 initial conditions which were randomly drawn from the interval [-1.25,1.25][-0.4,0.4]."
disc2d,disc2d_HenonStretch0,disc2d_HenonStretchContract.mw,disc2d/disc2d_HenonStretchContract.mw,Henon map,stretch-and-fold sequence,medium,The action of  stretching due to the positive Lyaponov exponent: the evolution is shown of 10^4 initial conditions very close to each other (max separation of 0.02).
disc2d,disc2d_HenonStretch4,disc2d_HenonStretchContract.mw,disc2d/disc2d_HenonStretchContract.mw,Henon map,stretch-and-fold sequence,medium,The action of  stretching due to the positive Lyaponov exponent: the evolution is shown of 10^4 initial conditions very close to each other (max separation of 0.02).
disc2d,disc2d_HenonStretch8,disc2d_HenonStretchContract.mw,disc2d/disc2d_HenonStretchContract.mw,Henon map,stretch-and-fold sequence,medium,The action of  stretching due to the positive Lyaponov exponent: the evolution is shown of 10^4 initial conditions very close to each other (max separation of 0.02).
disc2d,disc2d_HenonStretch12,disc2d_HenonStretchContract.mw,disc2d/disc2d_HenonStretchContract.mw,Henon map,stretch-and-fold sequence,medium,The action of  stretching due to the positive Lyaponov exponent: the evolution is shown of 10^4 initial conditions very close to each other (max separation of 0.02).
disc2d,disc2d_HenonStretch16,disc2d_HenonStretchContract.mw,disc2d/disc2d_HenonStretchContract.mw,Henon map,stretch-and-fold sequence,medium,The action of  stretching due to the positive Lyaponov exponent: the evolution is shown of 10^4 initial conditions very close to each other (max separation of 0.02).
disc2d,disc2d_HenonStretch20,disc2d_HenonStretchContract.mw,disc2d/disc2d_HenonStretchContract.mw,Henon map,stretch-and-fold sequence,medium,The action of  stretching due to the positive Lyaponov exponent: the evolution is shown of 10^4 initial conditions very close to each other (max separation of 0.02).
disc2d,disc2d_kickedrotor,disc2d_kickedrotor.mw,disc2d/disc2d_kickedrotor.mw,kicked rotor,,high,Sketch of a kicked rotor system
disc2d,disc2d_kickedrotor_delta,disc2d_kickedrotor.mw,disc2d/disc2d_kickedrotor.mw,kicked rotor,,high,The dynamics of the undamped kicked rotor system
disc2d,disc2d_kickedrotor_v,disc2d_kickedrotor.mw,disc2d/disc2d_kickedrotor.mw,kicked rotor,,high,The dynamics of the undamped kicked rotor system
disc2d,disc2d_kickedrotor_theta,disc2d_kickedrotor.mw,disc2d/disc2d_kickedrotor.mw,kicked rotor,,high,The dynamics of the undamped kicked rotor system
disc2d,disc2d_circle,disc2d_circlemap.mw,disc2d/disc2d_circlemap.mw,circle map,,medium,Sketch of a flow on a circle.
disc2d,disc2d_lincircle_cobweb,disc2d_lincirclemap.mw,disc2d/disc2d_lincirclemap.mw,circle map,cobweb / staircase plot,high,Cobweb diagram for a period-3 solution of the linear map eq:disc2d:lincircle.
disc2d,disc2d_lincircle_quasi,disc2d_lincirclemap.mw,disc2d/disc2d_lincirclemap.mw,circle map,,high,Quasi-periodicity of system eq:disc2d:lincircle for =10.17.
disc2d,disc2d_lincircle_quasi_cobweb,disc2d_lincirclemap.mw,disc2d/disc2d_lincirclemap.mw,circle map,cobweb / staircase plot,high,Quasi-periodicity of system eq:disc2d:lincircle for =10.17.
disc2d,disc2d_circlemap_series,disc2d_circlemap.mw,disc2d/disc2d_circlemap.mw,circle map,time series,high,phase locking in a period-2 solution for   [0.464; 0.536] and (K=1) in the circle map.
disc2d,disc2d_circlemap_return_p2,disc2d_circlemap.mw,disc2d/disc2d_circlemap.mw,circle map,return map (x_{n+1} vs x_n),high,"The second iterate f(f(x)) for the circle map at K=1. Shown are the mappings for =0.464 (thin dashed line), =0.500 (solid line) and =0.536 (dash-dotted line)."
disc2d,disc2d_circlemap_winding,disc2d_circlemap.mw,disc2d/disc2d_circlemap.mw,circle map,,high,Generalized rotation number W as a function of . This is a Devil's staircase.
disc2d,disc2d_circlemap_bifurcation,disc2d_circlemap.mw,disc2d/disc2d_circlemap.mw,circle map,bifurcation diagram,high,bifurcation diagram and Lyapunov exponents
disc2d,disc2d_circlemap_lyapunov,disc2d_circlemap.mw,disc2d/disc2d_circlemap.mw,circle map,Lyapunov exponent,medium,"Lyapunov exponents  in the -K parameter-space. Coloring is [-1,1]; colorscheme: blue=-1; white=0; red=1"
disc2d,disc2d_standardmap_quasi,disc2d_standardmap.mw,disc2d/disc2d_standardmap.mw,standard (Chirikov) map,,high,Coexistence of chaotic and quasi-periodic solutions at K=2. Note the factor 10 difference in scale for the x-axis between Figs.\ fig:disc2d_standardmap:quasi_deviations and fig:disc2d_standardmap:chaos_deviations.
disc2d,disc2d_standardmap_chaos,disc2d_standardmap.mw,disc2d/disc2d_standardmap.mw,standard (Chirikov) map,,high,Coexistence of chaotic and quasi-periodic solutions at K=2. Note the factor 10 difference in scale for the x-axis between Figs.\ fig:disc2d_standardmap:quasi_deviations and fig:disc2d_standardmap:chaos_deviations.
disc2d,disc2d_standardmap_quasi_return,disc2d_standardmap.mw,disc2d/disc2d_standardmap.mw,standard (Chirikov) map,return map (x_{n+1} vs x_n),high,Coexistence of chaotic and quasi-periodic solutions at K=2. Note the factor 10 difference in scale for the x-axis between Figs.\ fig:disc2d_standardmap:quasi_deviations and fig:disc2d_standardmap:chaos_deviations.
disc2d,disc2d_standardmap_chaos_return,disc2d_standardmap.mw,disc2d/disc2d_standardmap.mw,standard (Chirikov) map,return map (x_{n+1} vs x_n),high,Coexistence of chaotic and quasi-periodic solutions at K=2. Note the factor 10 difference in scale for the x-axis between Figs.\ fig:disc2d_standardmap:quasi_deviations and fig:disc2d_standardmap:chaos_deviations.
disc2d,disc2d_standardmap_quasi_deviations,disc2d_standardmap.mw,disc2d/disc2d_standardmap.mw,standard (Chirikov) map,,high,Coexistence of chaotic and quasi-periodic solutions at K=2. Note the factor 10 difference in scale for the x-axis between Figs.\ fig:disc2d_standardmap:quasi_deviations and fig:disc2d_standardmap:chaos_deviations.
disc2d,disc2d_standardmap_chaos_deviations,disc2d_standardmap.mw,disc2d/disc2d_standardmap.mw,standard (Chirikov) map,,high,Coexistence of chaotic and quasi-periodic solutions at K=2. Note the factor 10 difference in scale for the x-axis between Figs.\ fig:disc2d_standardmap:quasi_deviations and fig:disc2d_standardmap:chaos_deviations.
disc2d,disc2d_standardmap_phase,disc2d_standardmap.mw,disc2d/disc2d_standardmap.mw,standard (Chirikov) map,phase portrait,high,Islands of order in a sea of chaos for the standard map at K=2
disc2d,disc2d_standardmap_phasetorus,disc2d_standardmap.mw,disc2d/disc2d_standardmap.mw,standard (Chirikov) map,phase portrait,high,Islands of order in a sea of chaos for the standard map at K=2
disc2d,disc2d_standardmap_saddlenode_n=-6,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_standardmap_saddlenode_n=-5,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_standardmap_saddlenode_n=-4,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_standardmap_saddlenode_n=-3,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_standardmap_saddlenode_n=0,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_standardmap_saddlenode_n=3,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_standardmap_saddlenode_n=4,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_standardmap_saddlenode_n=5,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_standardmap_saddlenode_n=6,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,standard (Chirikov) map,,medium,"Unfolding of the stable and unstable manifolds by following a small cloud of initial conditions around (0,0) (fig e). Figs.\ (f-i) shows the unfolding of the unstable manifold. By iterating the inverse (eq:disc2d:standar"
disc2d,disc2d_manifolds,disc2d_standardmap_saddlenode.mw,disc2d/disc2d_standardmap_saddlenode.mw,,stretch-and-fold sequence,review,Sketch of the stable and unstable manifolds
